sensor_data,label
$$$0.3295284829047969/0.4777908359845083/0.607026643232848/0.8037974554072144/0.545454524836421/0.23478255998928274 $$$0.17623179724241808/0.3734271637610355/0.6756273428511995/0.5759493686764737/0.2231404845694529/0.12173910910773328 $$$0.3965029218819892/0.41315173006041506/0.25729016781940317/0.7468354506108746/0.3305784958917814/0.06086955455386664 $$$0.6157727789289102/0.0/0.6239015397547091/0.0/0.6859504090578629/0.0,Normal
$$$0.32487429594780154/0.4731366490275129/0.6023724562758527/0.799143268450219/0.5408003378794256/0.23012837303228736 $$$0.1715776102854227/0.36877297680404014/0.6709731558942041/0.5712951817194784/0.21848629761245753/0.1170849221507379 $$$0.39184873492499384/0.4084975431034197/0.2526359808624078/0.7421812636538793/0.325924308934786/0.05621536759687126 $$$0.6111185919719149/-0.0046541869569953764/0.6192473527977137/-0.0046541869569953764/0.6812962221008675/-0.0046541869569953764,Normal
$$$0.17623179724241808/0.3734271637610355/0.6756273428511995/0.5759493686764737/0.2231404845694529/0.12173910910773328 $$$0.3965029218819892/0.41315173006041506/0.25729016781940317/0.7468354506108746/0.3305784958917814/0.06086955455386664 $$$0.6157727789289102/0.0/0.6239015397547091/0.0/0.6859504090578629/0.0 $$$0.5262422661530533/0.41849158364708994/0.3267760032603574/0.7784810216968504/1.0/0.08695647620299808,Normal
$$$0.18116455417137606/0.37835992068999347/0.6805600997801575/0.5808821256054317/0.22807324149841088/0.12667186603669126 $$$0.40143567881094716/0.418084486989373/0.2622229247483611/0.7517682075398326/0.33551125282073935/0.06580231148282462 $$$0.6207055358578683/0.004932756928957975/0.6288342966836671/0.004932756928957975/0.6908831659868209/0.004932756928957975 $$$0.5311750230820113/0.4234243405760479/0.33170876018931533/0.7834137786258084/1.004932756928958/0.09188923313195606,Normal
$$$0.4397941025462734/0.6317942676369269/0.16293888527503214/0.363013708893765/0.38028167229693455/1.0 $$$0.5359410837478148/0.8725077102869673/0.11796653127925241/0.4109589176990617/0.32394364836206874/0.9652173865201719 $$$0.563003756934948/0.735831094894206/0.4476917371368735/0.5136986392919994/0.49295773090325645/0.9826086899457471 $$$0.7275866205636174/0.5896385263860406/0.5513979676022148/0.4246575413274058/0.47887323028783507/0.9652173865201719,Slow
$$$0.43537169688724964/0.6273718619779032/0.15851647961600837/0.35859130323474125/0.3758592666379108/0.9955775943409763 $$$0.531518678088791/0.8680853046279435/0.11354412562022864/0.40653651204003793/0.319521242703045/0.9607949808611481 $$$0.5585813512759242/0.7314086892351822/0.44326933147784975/0.5092762336329757/0.4885353252442327/0.9781862842867234 $$$0.7231642149045937/0.5852161207270169/0.5469755619431911/0.42023513566838205/0.47445082462881133/0.9607949808611481,Slow
$$$0.5359410837478148/0.8725077102869673/0.11796653127925241/0.4109589176990617/0.32394364836206874/0.9652173865201719 $$$0.563003756934948/0.735831094894206/0.4476917371368735/0.5136986392919994/0.49295773090325645/0.9826086899457471 $$$0.7275866205636174/0.5896385263860406/0.5513979676022148/0.4246575413274058/0.47887323028783507/0.9652173865201719 $$$0.3465511983351208/0.6129086539370685/0.0/0.4520548042477494/0.0/0.7826086939229536,Normal
$$$0.5376688987144637/0.8742355252536161/0.11969434624590132/0.4126867326657106/0.32567146332871766/0.9669452014868207 $$$0.5647315719015968/0.7375589098608548/0.4494195521035224/0.5154264542586483/0.4946855458699054/0.984336504912396 $$$0.7293144355302663/0.5913663413526895/0.5531257825688637/0.4263853562940547/0.480601045254484/0.9669452014868207 $$$0.34827901330176975/0.6146364689037174/0.0017278149666489113/0.45378261921439833/0.0017278149666489113/0.7843365088896025,Normal
$$$0.563003756934948/0.735831094894206/0.4476917371368735/0.5136986392919994/0.49295773090325645/0.9826086899457471 $$$0.7275866205636174/0.5896385263860406/0.5513979676022148/0.4246575413274058/0.47887323028783507/0.9652173865201719 $$$0.3465511983351208/0.6129086539370685/0.0/0.4520548042477494/0.0/0.7826086939229536 $$$1.0/0.6080270771371991/0.299262046042298/0.5205479589379992/0.408450699027179/0.6086956331524904,Normal
$$$0.5613755021721716/0.7342028401314296/0.44606348237409715/0.5120703845292232/0.4913294761404801/0.9809804351829707 $$$0.725958365800841/0.5880102716232642/0.5497697128394385/0.42302928656462946/0.47724497552505873/0.9635891317573955 $$$0.3449229435723445/0.6112803991742921/-0.0016282547627763377/0.45042654948497307/-0.0016282547627763377/0.7809804391601773 $$$0.9983717452372236/0.6063988223744228/0.29763379127952166/0.5189197041752229/0.40682244426440267/0.607067378389714,Normal
