accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.5910585016408367, 0.3059617107828773, 0.5526787795032152, 0.5482497217874064]","[0.9598895202537576, 0.882438533941445, 0.5115001117133375, 0.8397767631082015]","[0.9609607271412488, 0.3004728995616461, 0.769330798792155, 0.8525410744235082]","[0.75, 0.4166666709016551, 0.9500000152459585, 0.3333333418033102]","[0.9019608095184998, 0.4509803898122326, 0.5294117952593442, 0.7843137480572614]","[1.0, 0.5909091117777829, 0.5909091117777829, 0.8636363431614205]"
"[0.3059617107828773, 0.5526787795032152, 0.5482497217874064, 0.3704253352363336]","[0.882438533941445, 0.5115001117133375, 0.8397767631082015, 1.0]","[0.3004728995616461, 0.769330798792155, 0.8525410744235082, 0.0]","[0.4166666709016551, 0.9500000152459585, 0.3333333418033102, 0.1666666581966897]","[0.4509803898122326, 0.5294117952593442, 0.7843137480572614, 0.0980392203755348]","[0.5909091117777829, 0.5909091117777829, 0.8636363431614205, 0.0]"
"[0.5526787795032152, 0.5482497217874064, 0.3704253352363336, 0.8144928952895286]","[0.5115001117133375, 0.8397767631082015, 1.0, 0.2690960795088409]","[0.769330798792155, 0.8525410744235082, 0.0, 0.8684374446240342]","[0.9500000152459585, 0.3333333418033102, 0.1666666581966897, 0.5333333221106139]","[0.5294117952593442, 0.7843137480572614, 0.0980392203755348, 0.3725490553634532]","[0.5909091117777829, 0.8636363431614205, 0.0, 0.3636363258364686]"
"[0.5482497217874064, 0.3704253352363336, 0.8144928952895286, 0.6808717285401259]","[0.8397767631082015, 1.0, 0.2690960795088409, 0.0]","[0.8525410744235082, 0.0, 0.8684374446240342, 0.9334432350482654]","[0.3333333418033102, 0.1666666581966897, 0.5333333221106139, 0.0]","[0.7843137480572614, 0.0980392203755348, 0.3725490553634532, 0.5098039280163604]","[0.8636363431614205, 0.0, 0.3636363258364686, 1.0]"
"[0.3704253352363336, 0.8144928952895286, 0.6808717285401259, 0.6963778863290543]","[1.0, 0.2690960795088409, 0.0, 0.3747554383691751]","[0.0, 0.8684374446240342, 0.9334432350482654, 0.9470968226948832]","[0.1666666581966897, 0.5333333221106139, 0.0, 0.8333333418033103]","[0.0980392203755348, 0.3725490553634532, 0.5098039280163604, 1.0]","[0.0, 0.3636363258364686, 1.0, 0.7272726949853169]"
"[0.8144928952895286, 0.6808717285401259, 0.6963778863290543, 0.7795591108834778]","[0.2690960795088409, 0.0, 0.3747554383691751, 0.1916014214767381]","[0.8684374446240342, 0.9334432350482654, 0.9470968226948832, 0.7170317229331228]","[0.5333333221106139, 0.0, 0.8333333418033103, 0.5500000101639723]","[0.3725490553634532, 0.5098039280163604, 1.0, 0.5098039280163604]","[0.3636363258364686, 1.0, 0.7272726949853169, 1.0]"
"[0.6808717285401259, 0.6963778863290543, 0.7795591108834778, 0.4434493679921985]","[0.0, 0.3747554383691751, 0.1916014214767381, 0.3596410335597217]","[0.9334432350482654, 0.9470968226948832, 0.7170317229331228, 0.4032981254060904]","[0.0, 0.8333333418033103, 0.5500000101639723, 0.7166666683606621]","[0.5098039280163604, 1.0, 0.5098039280163604, 0.8627450974530582]","[1.0, 0.7272726949853169, 1.0, 0.5454545840419383]"
"[0.6963778863290543, 0.7795591108834778, 0.4434493679921985, 1.0]","[0.3747554383691751, 0.1916014214767381, 0.3596410335597217, 0.2095666730215309]","[0.9470968226948832, 0.7170317229331228, 0.4032981254060904, 1.0]","[0.8333333418033103, 0.5500000101639723, 0.7166666683606621, 1.0]","[1.0, 0.5098039280163604, 0.8627450974530582, 0.8627450974530582]","[0.7272726949853169, 1.0, 0.5454545840419383, 0.7272726949853169]"
"[0.7795591108834778, 0.4434493679921985, 1.0, 0.0761143344964364]","[0.1916014214767381, 0.3596410335597217, 0.2095666730215309, 0.4066798968614159]","[0.7170317229331228, 0.4032981254060904, 1.0, 0.51573527648157]","[0.5500000101639723, 0.7166666683606621, 1.0, 0.5833333290983449]","[0.5098039280163604, 0.8627450974530582, 0.8627450974530582, 0.1960784407510696]","[1.0, 0.5454545840419383, 0.7272726949853169, 0.4999999826750481]"
"[0.4434493679921985, 1.0, 0.0761143344964364, 0.2177998106250994]","[0.3596410335597217, 0.2095666730215309, 0.4066798968614159, 0.3913643864781141]","[0.4032981254060904, 1.0, 0.51573527648157, 0.04615424544597]","[0.7166666683606621, 1.0, 0.5833333290983449, 0.5166666610553069]","[0.8627450974530582, 0.8627450974530582, 0.1960784407510696, 0.1372549324409764]","[0.5454545840419383, 0.7272726949853169, 0.4999999826750481, 0.5454545840419383]"
"[1.0, 0.0761143344964364, 0.2177998106250994, 0.3955893048386938]","[0.2095666730215309, 0.4066798968614159, 0.3913643864781141, 0.1978556430763179]","[1.0, 0.51573527648157, 0.04615424544597, 0.5500017004337001]","[1.0, 0.5833333290983449, 0.5166666610553069, 0.2999999847540415]","[0.8627450974530582, 0.1960784407510696, 0.1372549324409764, 0.0]","[0.7272726949853169, 0.4999999826750481, 0.5454545840419383, 0.6818181672494723]"
"[0.0761143344964364, 0.2177998106250994, 0.3955893048386938, 0.5915620019421306]","[0.4066798968614159, 0.3913643864781141, 0.1978556430763179, 0.5833601818406169]","[0.51573527648157, 0.04615424544597, 0.5500017004337001, 0.4458005988415355]","[0.5833333290983449, 0.5166666610553069, 0.2999999847540415, 0.5331325428457333]","[0.1960784407510696, 0.1372549324409764, 0.0, 0.4671052671171981]","[0.4999999826750481, 0.5454545840419383, 0.6818181672494723, 0.4901960813255254]"
"[0.2177998106250994, 0.3955893048386938, 0.5915620019421306, 0.5230125264405021]","[0.3913643864781141, 0.1978556430763179, 0.5833601818406169, 0.5820875779886922]","[0.04615424544597, 0.5500017004337001, 0.4458005988415355, 0.6339556223532299]","[0.5166666610553069, 0.2999999847540415, 0.5331325428457333, 0.5000000114803899]","[0.1372549324409764, 0.0, 0.4671052671171981, 0.4539473689489597]","[0.5454545840419383, 0.6818181672494723, 0.4901960813255254, 0.5882353222532091]"
"[0.3955893048386938, 0.5915620019421306, 0.5230125264405021, 0.5001533560246518]","[0.1978556430763179, 0.5833601818406169, 0.5820875779886922, 0.752641923903331]","[0.5500017004337001, 0.4458005988415355, 0.6339556223532299, 0.1840613091834345]","[0.2999999847540415, 0.5331325428457333, 0.5000000114803899, 0.5210843449776326]","[0.0, 0.4671052671171981, 0.4539473689489597, 0.5657894657656038]","[0.6818181672494723, 0.4901960813255254, 0.5882353222532091, 0.4313725748838093]"
"[0.5915620019421306, 0.5230125264405021, 0.5001533560246518, 0.3465307816420353]","[0.5833601818406169, 0.5820875779886922, 0.752641923903331, 0.9814037361176926]","[0.4458005988415355, 0.6339556223532299, 0.1840613091834345, 0.0732708634633507]","[0.5331325428457333, 0.5000000114803899, 0.5210843449776326, 0.6596385679380081]","[0.4671052671171981, 0.4539473689489597, 0.5657894657656038, 0.4736842111861997]","[0.4901960813255254, 0.5882353222532091, 0.4313725748838093, 0.549019617661276]"
"[0.5230125264405021, 0.5001533560246518, 0.3465307816420353, 0.7067871376348936]","[0.5820875779886922, 0.752641923903331, 0.9814037361176926, 0.9797543423926482]","[0.6339556223532299, 0.1840613091834345, 0.0732708634633507, 0.6766710228485274]","[0.5000000114803899, 0.5210843449776326, 0.6596385679380081, 0.6445783261995721]","[0.4539473689489597, 0.5657894657656038, 0.4736842111861997, 0.2631579031833559]","[0.5882353222532091, 0.4313725748838093, 0.549019617661276, 0.5294117840490812]"
"[0.5001533560246518, 0.3465307816420353, 0.7067871376348936, 0.5180219906061956]","[0.752641923903331, 0.9814037361176926, 0.9797543423926482, 0.6889194483823966]","[0.1840613091834345, 0.0732708634633507, 0.6766710228485274, 0.823598875732806]","[0.5210843449776326, 0.6596385679380081, 0.6445783261995721, 0.572289167691942]","[0.5657894657656038, 0.4736842111861997, 0.2631579031833559, 0.4276315776276006]","[0.4313725748838093, 0.549019617661276, 0.5294117840490812, 0.4901960813255254]"
"[0.3465307816420353, 0.7067871376348936, 0.5180219906061956, 0.520468245413745]","[0.9814037361176926, 0.9797543423926482, 0.6889194483823966, 0.8034125255775325]","[0.0732708634633507, 0.6766710228485274, 0.823598875732806, 0.4871623941021424]","[0.6596385679380081, 0.6445783261995721, 0.572289167691942, 0.4849397720380318]","[0.4736842111861997, 0.2631579031833559, 0.4276315776276006, 0.6052631552552012]","[0.549019617661276, 0.5294117840490812, 0.4901960813255254, 0.4705882458449534]"
"[0.7067871376348936, 0.5180219906061956, 0.520468245413745, 0.0217769016208864]","[0.9797543423926482, 0.6889194483823966, 0.8034125255775325, 0.1872743032123509]","[0.6766710228485274, 0.823598875732806, 0.4871623941021424, 0.0]","[0.6445783261995721, 0.572289167691942, 0.4849397720380318, 0.0]","[0.2631579031833559, 0.4276315776276006, 0.6052631552552012, 0.2697368547750338]","[0.5294117840490812, 0.4901960813255254, 0.4705882458449534, 0.2549019640081802]"
"[0.5180219906061956, 0.520468245413745, 0.0217769016208864, 0.0497513842464127]","[0.6889194483823966, 0.8034125255775325, 0.1872743032123509, 0.990474985985926]","[0.823598875732806, 0.4871623941021424, 0.0, 0.4245130246086038]","[0.572289167691942, 0.4849397720380318, 0.0, 1.0]","[0.4276315776276006, 0.6052631552552012, 0.2697368547750338, 0.4210526310510402]","[0.4901960813255254, 0.4705882458449534, 0.2549019640081802, 0.4313725748838093]"
"[0.520468245413745, 0.0217769016208864, 0.0497513842464127, 0.0205292120358297]","[0.8034125255775325, 0.1872743032123509, 0.990474985985926, 0.538002831877413]","[0.4871623941021424, 0.0, 0.4245130246086038, 0.2579433944540711]","[0.4849397720380318, 0.0, 1.0, 0.1656626499384834]","[0.6052631552552012, 0.2697368547750338, 0.4210526310510402, 0.0]","[0.4705882458449534, 0.2549019640081802, 0.4313725748838093, 1.0]"
"[0.0217769016208864, 0.0497513842464127, 0.0205292120358297, 0.6129544133332272]","[0.1872743032123509, 0.990474985985926, 0.538002831877413, 0.8285461149242748]","[0.0, 0.4245130246086038, 0.2579433944540711, 0.7995235759765589]","[0.0, 1.0, 0.1656626499384834, 0.740963867814975]","[0.2697368547750338, 0.4210526310510402, 0.0, 0.8552631452249662]","[0.2549019640081802, 0.4313725748838093, 1.0, 0.5294117840490812]"
"[0.0497513842464127, 0.0205292120358297, 0.6129544133332272, 0.345247528194096]","[0.990474985985926, 0.538002831877413, 0.8285461149242748, 0.5300620362917725]","[0.4245130246086038, 0.2579433944540711, 0.7995235759765589, 0.30008999505222]","[1.0, 0.1656626499384834, 0.740963867814975, 0.6054216921690516]","[0.4210526310510402, 0.0, 0.8552631452249662, 0.3355263205406377]","[0.4313725748838093, 1.0, 0.5294117840490812, 0.2549019640081802]"
"[0.0205292120358297, 0.6129544133332272, 0.345247528194096, 0.4216360116449215]","[0.538002831877413, 0.8285461149242748, 0.5300620362917725, 0.0]","[0.2579433944540711, 0.7995235759765589, 0.30008999505222, 0.2927462429554738]","[0.1656626499384834, 0.740963867814975, 0.6054216921690516, 0.1295180844611362]","[0.0, 0.8552631452249662, 0.3355263205406377, 0.2631579031833559]","[1.0, 0.5294117840490812, 0.2549019640081802, 0.3333333432980115]"
"[0.6129544133332272, 0.345247528194096, 0.4216360116449215, 1.0]","[0.8285461149242748, 0.5300620362917725, 0.0, 0.5940445049066501]","[0.7995235759765589, 0.30008999505222, 0.2927462429554738, 1.0]","[0.740963867814975, 0.6054216921690516, 0.1295180844611362, 0.7228915667076777]","[0.8552631452249662, 0.3355263205406377, 0.2631579031833559, 1.0]","[0.5294117840490812, 0.2549019640081802, 0.3333333432980115, 0.0392157120654416]"
"[0.345247528194096, 0.4216360116449215, 1.0, 0.0810270141470747]","[0.5300620362917725, 0.0, 0.5940445049066501, 1.0]","[0.30008999505222, 0.2927462429554738, 1.0, 0.0986430616152272]","[0.6054216921690516, 0.1295180844611362, 0.7228915667076777, 0.5813253090612789]","[0.3355263205406377, 0.2631579031833559, 1.0, 0.5263157888138004]","[0.2549019640081802, 0.3333333432980115, 0.0392157120654416, 0.1176470764082556]"
"[0.4216360116449215, 1.0, 0.0810270141470747, 0.0]","[0.0, 0.5940445049066501, 1.0, 0.7252708238305268]","[0.2927462429554738, 1.0, 0.0986430616152272, 0.4852962629327305]","[0.1295180844611362, 0.7228915667076777, 0.5813253090612789, 0.6626506089382458]","[0.2631579031833559, 1.0, 0.5263157888138004, 0.2697368547750338]","[0.3333333432980115, 0.0392157120654416, 0.1176470764082556, 0.1372549025469418]"
"[1.0, 0.0810270141470747, 0.0, 0.3767071828520522]","[0.5940445049066501, 1.0, 0.7252708238305268, 0.4276695210388443]","[1.0, 0.0986430616152272, 0.4852962629327305, 0.0380632753091063]","[0.7228915667076777, 0.5813253090612789, 0.6626506089382458, 0.1957831517839791]","[1.0, 0.5263157888138004, 0.2697368547750338, 0.440789475795839]","[0.0392157120654416, 0.1176470764082556, 0.1372549025469418, 0.0392157120654416]"
"[0.0810270141470747, 0.0, 0.3767071828520522, 0.3353811459658119]","[1.0, 0.7252708238305268, 0.4276695210388443, 0.4299740696526578]","[0.0986430616152272, 0.4852962629327305, 0.0380632753091063, 0.3322436385532051]","[0.5813253090612789, 0.6626506089382458, 0.1957831517839791, 0.4337349510457808]","[0.5263157888138004, 0.2697368547750338, 0.440789475795839, 0.2434210684687923]","[0.1176470764082556, 0.1372549025469418, 0.0392157120654416, 0.0]"
"[0.0, 0.3767071828520522, 0.3353811459658119, 0.5340936673776802]","[0.7252708238305268, 0.4276695210388443, 0.4299740696526578, 0.4255152727547679]","[0.4852962629327305, 0.0380632753091063, 0.3322436385532051, 0.7882285259641569]","[0.6626506089382458, 0.1957831517839791, 0.4337349510457808, 0.5692771175073924]","[0.2697368547750338, 0.440789475795839, 0.2434210684687923, 0.8881579031833559]","[0.1372549025469418, 0.0392157120654416, 0.0, 0.0392157120654416]"
"[0.3767071828520522, 0.3353811459658119, 0.5340936673776802, 0.560990499933577]","[0.4276695210388443, 0.4299740696526578, 0.4255152727547679, 0.5187181878195695]","[0.0380632753091063, 0.3322436385532051, 0.7882285259641569, 0.2134669953342488]","[0.1957831517839791, 0.4337349510457808, 0.5692771175073924, 0.4770642144009681]","[0.440789475795839, 0.2434210684687923, 0.8881579031833559, 0.9230769027790507]","[0.0392157120654416, 0.0, 0.0392157120654416, 0.9487179517250413]"
"[0.3353811459658119, 0.5340936673776802, 0.560990499933577, 0.5089209775319967]","[0.4299740696526578, 0.4255152727547679, 0.5187181878195695, 0.4722859075133513]","[0.3322436385532051, 0.7882285259641569, 0.2134669953342488, 0.4265683552035905]","[0.4337349510457808, 0.5692771175073924, 0.4770642144009681, 0.5321100783334518]","[0.2434210684687923, 0.8881579031833559, 0.9230769027790507, 0.6153846018527005]","[0.0, 0.0392157120654416, 0.9487179517250413, 0.8974358839039818]"
"[0.5340936673776802, 0.560990499933577, 0.5089209775319967, 0.6766400054292374]","[0.4255152727547679, 0.5187181878195695, 0.4722859075133513, 0.5051216933253163]","[0.7882285259641569, 0.2134669953342488, 0.4265683552035905, 0.4786237550415672]","[0.5692771175073924, 0.4770642144009681, 0.5321100783334518, 0.5596330186045445]","[0.8881579031833559, 0.9230769027790507, 0.6153846018527005, 1.0]","[0.0392157120654416, 0.9487179517250413, 0.8974358839039818, 0.8717948695395525]"
"[0.560990499933577, 0.5089209775319967, 0.6766400054292374, 0.6635573566922426]","[0.5187181878195695, 0.4722859075133513, 0.5051216933253163, 0.5068167341835577]","[0.2134669953342488, 0.4265683552035905, 0.4786237550415672, 0.2195485008512721]","[0.4770642144009681, 0.5321100783334518, 0.5596330186045445, 0.5045871398107487]","[0.9230769027790507, 0.6153846018527005, 1.0, 0.8461538641963994]","[0.9487179517250413, 0.8974358839039818, 0.8717948695395525, 1.0]"
"[0.5089209775319967, 0.6766400054292374, 0.6635573566922426, 0.7076935913979558]","[0.4722859075133513, 0.5051216933253163, 0.5068167341835577, 1.0]","[0.4265683552035905, 0.4786237550415672, 0.2195485008512721, 0.201953810363426]","[0.5321100783334518, 0.5596330186045445, 0.5045871398107487, 0.7614678696333529]","[0.6153846018527005, 1.0, 0.8461538641963994, 0.8653846165122749]","[0.8974358839039818, 0.8717948695395525, 1.0, 0.7948717800242763]"
"[0.6766400054292374, 0.6635573566922426, 0.7076935913979558, 0.3227883413446182]","[0.5051216933253163, 0.5068167341835577, 1.0, 0.8350841124316114]","[0.4786237550415672, 0.2195485008512721, 0.201953810363426, 0.3047406973168411]","[0.5596330186045445, 0.5045871398107487, 0.7614678696333529, 0.3761467757736415]","[1.0, 0.8461538641963994, 0.8653846165122749, 0.5192307669754501]","[0.8717948695395525, 1.0, 0.7948717800242763, 0.8974358839039818]"
"[0.6635573566922426, 0.7076935913979558, 0.3227883413446182, 0.6885639268663037]","[0.5068167341835577, 1.0, 0.8350841124316114, 0.7786464308764729]","[0.2195485008512721, 0.201953810363426, 0.3047406973168411, 0.4723247744020517]","[0.5045871398107487, 0.7614678696333529, 0.3761467757736415, 0.8807339488037937]","[0.8461538641963994, 0.8653846165122749, 0.5192307669754501, 0.5]","[1.0, 0.7948717800242763, 0.8974358839039818, 0.6923076712580457]"
"[0.7076935913979558, 0.3227883413446182, 0.6885639268663037, 0.484213808781764]","[1.0, 0.8350841124316114, 0.7786464308764729, 0.8764902480959632]","[0.201953810363426, 0.3047406973168411, 0.4723247744020517, 0.3367493967448046]","[0.7614678696333529, 0.3761467757736415, 0.8807339488037937, 0.3853210868661528]","[0.8653846165122749, 0.5192307669754501, 0.5, 0.7692307559807692]","[0.7948717800242763, 0.8974358839039818, 0.6923076712580457, 0.7948717800242763]"
"[0.3227883413446182, 0.6885639268663037, 0.484213808781764, 0.7012061026167083]","[0.8350841124316114, 0.7786464308764729, 0.8764902480959632, 0.4957386286864226]","[0.3047406973168411, 0.4723247744020517, 0.3367493967448046, 0.8466549120352119]","[0.3761467757736415, 0.8807339488037937, 0.3853210868661528, 0.5779816337960085]","[0.5192307669754501, 0.5, 0.7692307559807692, 0.8269230679018004]","[0.8974358839039818, 0.6923076712580457, 0.7948717800242763, 0.4871794586121096]"
"[0.6885639268663037, 0.484213808781764, 0.7012061026167083, 0.7480266466752035]","[0.7786464308764729, 0.8764902480959632, 0.4957386286864226, 0.2312039169758902]","[0.4723247744020517, 0.3367493967448046, 0.8466549120352119, 0.5308195173092002]","[0.8807339488037937, 0.3853210868661528, 0.5779816337960085, 0.5412844034130804]","[0.5, 0.7692307559807692, 0.8269230679018004, 0.9230769027790507]","[0.6923076712580457, 0.7948717800242763, 0.4871794586121096, 0.0512820091827579]"
"[0.484213808781764, 0.7012061026167083, 0.7480266466752035, 0.7310142920003786]","[0.8764902480959632, 0.4957386286864226, 0.2312039169758902, 0.0637467400356784]","[0.3367493967448046, 0.8466549120352119, 0.5308195173092002, 0.6822099284758113]","[0.3853210868661528, 0.5779816337960085, 0.5412844034130804, 0.2293577843063425]","[0.7692307559807692, 0.8269230679018004, 0.9230769027790507, 0.6538461577929624]","[0.7948717800242763, 0.4871794586121096, 0.0512820091827579, 0.0512820091827579]"
"[0.7012061026167083, 0.7480266466752035, 0.7310142920003786, 0.5333492836286443]","[0.4957386286864226, 0.2312039169758902, 0.0637467400356784, 0.9088074751319692]","[0.8466549120352119, 0.5308195173092002, 0.6822099284758113, 0.3982809934540854]","[0.5779816337960085, 0.5412844034130804, 0.2293577843063425, 1.0]","[0.8269230679018004, 0.9230769027790507, 0.6538461577929624, 0.5769230825613748]","[0.4871794586121096, 0.0512820091827579, 0.0512820091827579, 0.0]"
"[0.7480266466752035, 0.7310142920003786, 0.5333492836286443, 0.7710839392799144]","[0.2312039169758902, 0.0637467400356784, 0.9088074751319692, 0.397758499245966]","[0.5308195173092002, 0.6822099284758113, 0.3982809934540854, 0.0990724815990919]","[0.5412844034130804, 0.2293577843063425, 1.0, 0.2477064204784825]","[0.9230769027790507, 0.6538461577929624, 0.5769230825613748, 0.1538461944418985]","[0.0512820091827579, 0.0512820091827579, 0.0, 0.3076922896497534]"
"[0.7310142920003786, 0.5333492836286443, 0.7710839392799144, 0.2929801004436396]","[0.0637467400356784, 0.9088074751319692, 0.397758499245966, 0.6905859284655645]","[0.6822099284758113, 0.3982809934540854, 0.0990724815990919, 0.2000641161715714]","[0.2293577843063425, 1.0, 0.2477064204784825, 0.486238522870895]","[0.6538461577929624, 0.5769230825613748, 0.1538461944418985, 0.0]","[0.0512820091827579, 0.0, 0.3076922896497534, 0.2564102413747945]"
"[0.5333492836286443, 0.7710839392799144, 0.2929801004436396, 0.3223479027029002]","[0.9088074751319692, 0.397758499245966, 0.6905859284655645, 0.6362690881856542]","[0.3982809934540854, 0.0990724815990919, 0.2000641161715714, 1.0]","[1.0, 0.2477064204784825, 0.486238522870895, 0.0]","[0.5769230825613748, 0.1538461944418985, 0.0, 0.0384615632700491]","[0.0, 0.3076922896497534, 0.2564102413747945, 0.2564102413747945]"
"[0.7710839392799144, 0.2929801004436396, 0.3223479027029002, 0.3688404532314197]","[0.397758499245966, 0.6905859284655645, 0.6362690881856542, 0.6047436231746218]","[0.0990724815990919, 0.2000641161715714, 1.0, 0.0939787116981688]","[0.2477064204784825, 0.486238522870895, 0.0, 0.7981651419776329]","[0.1538461944418985, 0.0, 0.0384615632700491, 0.1538461944418985]","[0.3076922896497534, 0.2564102413747945, 0.2564102413747945, 0.2051281930998356]"
"[0.2929801004436396, 0.3223479027029002, 0.3688404532314197, 0.3564830479892657]","[0.6905859284655645, 0.6362690881856542, 0.6047436231746218, 0.4890758950929355]","[0.2000641161715714, 1.0, 0.0939787116981688, 0.3998102507895387]","[0.486238522870895, 0.0, 0.7981651419776329, 0.2935779689474806]","[0.0, 0.0384615632700491, 0.1538461944418985, 0.3076923302454992]","[0.2564102413747945, 0.2564102413747945, 0.2051281930998356, 0.0]"
"[0.3223479027029002, 0.3688404532314197, 0.3564830479892657, 0.0]","[0.6362690881856542, 0.6047436231746218, 0.4890758950929355, 0.0]","[1.0, 0.0939787116981688, 0.3998102507895387, 0.0]","[0.0, 0.7981651419776329, 0.2935779689474806, 0.2568807245774352]","[0.0384615632700491, 0.1538461944418985, 0.3076923302454992, 0.8846153834877251]","[0.2564102413747945, 0.2051281930998356, 0.0, 0.0769230528663379]"
"[0.3688404532314197, 0.3564830479892657, 0.0, 1.0]","[0.6047436231746218, 0.4890758950929355, 0.0, 0.0206128364418298]","[0.0939787116981688, 0.3998102507895387, 0.0, 0.4766378865923554]","[0.7981651419776329, 0.2935779689474806, 0.2568807245774352, 0.192660539936297]","[0.1538461944418985, 0.3076923302454992, 0.8846153834877251, 0.8846153834877251]","[0.2051281930998356, 0.0, 0.0769230528663379, 0.5384615264331689]"
"[0.3564830479892657, 0.0, 1.0, 0.3626041908502743]","[0.4890758950929355, 0.0, 0.0206128364418298, 0.4821190855687575]","[0.3998102507895387, 0.0, 0.4766378865923554, 0.3092771519657514]","[0.2935779689474806, 0.2568807245774352, 0.192660539936297, 0.6984126755572059]","[0.3076923302454992, 0.8846153834877251, 0.8846153834877251, 0.3855421664616116]","[0.0, 0.0769230528663379, 0.5384615264331689, 0.0]"
"[0.0, 1.0, 0.3626041908502743, 0.3619331038366819]","[0.0, 0.0206128364418298, 0.4821190855687575, 0.4167441332987908]","[0.0, 0.4766378865923554, 0.3092771519657514, 0.4908160834513973]","[0.2568807245774352, 0.192660539936297, 0.6984126755572059, 0.6666666586000223]","[0.8846153834877251, 0.8846153834877251, 0.3855421664616116, 0.4939758950387449]","[0.0769230528663379, 0.5384615264331689, 0.0, 0.3181818327505277]"
"[1.0, 0.3626041908502743, 0.3619331038366819, 0.3191714496982811]","[0.0206128364418298, 0.4821190855687575, 0.4167441332987908, 0.452986460457096]","[0.4766378865923554, 0.3092771519657514, 0.4908160834513973, 0.4393320104086287]","[0.192660539936297, 0.6984126755572059, 0.6666666586000223, 0.4920634745857625]","[0.8846153834877251, 0.3855421664616116, 0.4939758950387449, 0.3855421664616116]","[0.5384615264331689, 0.0, 0.3181818327505277, 0.409090888222217]"
"[0.3626041908502743, 0.3619331038366819, 0.3191714496982811, 0.206353591467079]","[0.4821190855687575, 0.4167441332987908, 0.452986460457096, 0.5377584421798421]","[0.3092771519657514, 0.4908160834513973, 0.4393320104086287, 0.3520953463217032]","[0.6984126755572059, 0.6666666586000223, 0.4920634745857625, 0.6190476029143303]","[0.3855421664616116, 0.4939758950387449, 0.3855421664616116, 0.5180722896269075]","[0.0, 0.3181818327505277, 0.409090888222217, 0.6363636741635313]"
"[0.3619331038366819, 0.3191714496982811, 0.206353591467079, 0.3201405713274333]","[0.4167441332987908, 0.452986460457096, 0.5377584421798421, 0.8001920278925165]","[0.4908160834513973, 0.4393320104086287, 0.3520953463217032, 0.2921488484058225]","[0.6666666586000223, 0.4920634745857625, 0.6190476029143303, 0.761904745771473]","[0.4939758950387449, 0.3855421664616116, 0.5180722896269075, 0.4216867503075826]","[0.3181818327505277, 0.409090888222217, 0.6363636741635313, 0.409090888222217]"
"[0.3191714496982811, 0.206353591467079, 0.3201405713274333, 0.4908288354137253]","[0.452986460457096, 0.5377584421798421, 0.8001920278925165, 0.5127347921357429]","[0.4393320104086287, 0.3520953463217032, 0.2921488484058225, 0.3806894405760991]","[0.4920634745857625, 0.6190476029143303, 0.761904745771473, 0.9841269733714584]","[0.3855421664616116, 0.5180722896269075, 0.4216867503075826, 0.5542168539562158]","[0.409090888222217, 0.6363636741635313, 0.409090888222217, 0.5000000173249519]"
"[0.206353591467079, 0.3201405713274333, 0.4908288354137253, 0.0]","[0.5377584421798421, 0.8001920278925165, 0.5127347921357429, 0.8310361409150322]","[0.3520953463217032, 0.2921488484058225, 0.3806894405760991, 0.3738079145243227]","[0.6190476029143303, 0.761904745771473, 0.9841269733714584, 0.904761888628616]","[0.5180722896269075, 0.4216867503075826, 0.5542168539562158, 0.2650602325541241]","[0.6363636741635313, 0.409090888222217, 0.5000000173249519, 0.3181818327505277]"
"[0.3201405713274333, 0.4908288354137253, 0.0, 0.2486007480302278]","[0.8001920278925165, 0.5127347921357429, 0.8310361409150322, 0.7532349777924908]","[0.2921488484058225, 0.3806894405760991, 0.3738079145243227, 0.5144588983403412]","[0.761904745771473, 0.9841269733714584, 0.904761888628616, 0.6984126755572059]","[0.4216867503075826, 0.5542168539562158, 0.2650602325541241, 0.3614457833538388]","[0.409090888222217, 0.5000000173249519, 0.3181818327505277, 0.4545454159580617]"
"[0.4908288354137253, 0.0, 0.2486007480302278, 0.2056816157926873]","[0.5127347921357429, 0.8310361409150322, 0.7532349777924908, 0.6867647822950479]","[0.3806894405760991, 0.3738079145243227, 0.5144588983403412, 0.4915985542811356]","[0.9841269733714584, 0.904761888628616, 0.6984126755572059, 0.7301587167143228]","[0.5542168539562158, 0.2650602325541241, 0.3614457833538388, 0.5662650420659853]","[0.5000000173249519, 0.3181818327505277, 0.4545454159580617, 0.5454545407295586]"
"[0.0, 0.2486007480302278, 0.2056816157926873, 0.0817900072314772]","[0.8310361409150322, 0.7532349777924908, 0.6867647822950479, 0.6472510775099021]","[0.3738079145243227, 0.5144588983403412, 0.4915985542811356, 0.5306092558377566]","[0.904761888628616, 0.6984126755572059, 0.7301587167143228, 0.7301587167143228]","[0.2650602325541241, 0.3614457833538388, 0.5662650420659853, 0.3132529987696695]","[0.3181818327505277, 0.4545454159580617, 0.5454545407295586, 0.8636363778113243]"
