accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.6157727789289102, 0.5262422661530533, 0.4397941025462734, 0.5359410837478148]","[0.0, 0.4184915836470899, 0.6317942676369269, 0.8725077102869673]","[0.6239015397547091, 0.3267760032603574, 0.1629388852750321, 0.1179665312792524]","[0.0, 0.7784810216968504, 0.363013708893765, 0.4109589176990617]","[0.6859504090578629, 1.0, 0.3802816722969345, 0.3239436483620687]","[0.0, 0.086956476202998, 1.0, 0.965217386520172]"
"[0.5262422661530533, 0.4397941025462734, 0.5359410837478148, 0.563003756934948]","[0.4184915836470899, 0.6317942676369269, 0.8725077102869673, 0.735831094894206]","[0.3267760032603574, 0.1629388852750321, 0.1179665312792524, 0.4476917371368735]","[0.7784810216968504, 0.363013708893765, 0.4109589176990617, 0.5136986392919994]","[1.0, 0.3802816722969345, 0.3239436483620687, 0.4929577309032564]","[0.086956476202998, 1.0, 0.965217386520172, 0.9826086899457472]"
"[0.4397941025462734, 0.5359410837478148, 0.563003756934948, 0.7275866205636174]","[0.6317942676369269, 0.8725077102869673, 0.735831094894206, 0.5896385263860406]","[0.1629388852750321, 0.1179665312792524, 0.4476917371368735, 0.5513979676022148]","[0.363013708893765, 0.4109589176990617, 0.5136986392919994, 0.4246575413274058]","[0.3802816722969345, 0.3239436483620687, 0.4929577309032564, 0.478873230287835]","[1.0, 0.965217386520172, 0.9826086899457472, 0.965217386520172]"
"[0.5359410837478148, 0.563003756934948, 0.7275866205636174, 0.3465511983351208]","[0.8725077102869673, 0.735831094894206, 0.5896385263860406, 0.6129086539370685]","[0.1179665312792524, 0.4476917371368735, 0.5513979676022148, 0.0]","[0.4109589176990617, 0.5136986392919994, 0.4246575413274058, 0.4520548042477494]","[0.3239436483620687, 0.4929577309032564, 0.478873230287835, 0.0]","[0.965217386520172, 0.9826086899457472, 0.965217386520172, 0.7826086939229536]"
"[0.563003756934948, 0.7275866205636174, 0.3465511983351208, 1.0]","[0.735831094894206, 0.5896385263860406, 0.6129086539370685, 0.6080270771371991]","[0.4476917371368735, 0.5513979676022148, 0.0, 0.299262046042298]","[0.5136986392919994, 0.4246575413274058, 0.4520548042477494, 0.5205479589379992]","[0.4929577309032564, 0.478873230287835, 0.0, 0.408450699027179]","[0.9826086899457472, 0.965217386520172, 0.7826086939229536, 0.6086956331524904]"
"[0.7275866205636174, 0.3465511983351208, 1.0, 0.7751576486883036]","[0.5896385263860406, 0.6129086539370685, 0.6080270771371991, 0.4654619582688809]","[0.5513979676022148, 0.0, 0.299262046042298, 0.687071625759571]","[0.4246575413274058, 0.4520548042477494, 0.5205479589379992, 0.5479452166371244]","[0.478873230287835, 0.0, 0.408450699027179, 0.8309859281954025]","[0.965217386520172, 0.7826086939229536, 0.6086956331524904, 0.5478260512769442]"
"[0.3465511983351208, 1.0, 0.7751576486883036, 0.5883023696995365]","[0.6129086539370685, 0.6080270771371991, 0.4654619582688809, 0.4293481116379148]","[0.0, 0.299262046042298, 0.687071625759571, 0.575374034174745]","[0.4520548042477494, 0.5205479589379992, 0.5479452166371244, 0.554794536283124]","[0.0, 0.408450699027179, 0.8309859281954025, 0.1549295550842908]","[0.7826086939229536, 0.6086956331524904, 0.5478260512769442, 0.3826086488479461]"
"[1.0, 0.7751576486883036, 0.5883023696995365, 0.0]","[0.6080270771371991, 0.4654619582688809, 0.4293481116379148, 0.6961763202475437]","[0.299262046042298, 0.687071625759571, 0.575374034174745, 0.8644403766520173]","[0.5205479589379992, 0.5479452166371244, 0.554794536283124, 0.4657534383185304]","[0.408450699027179, 0.8309859281954025, 0.1549295550842908, 0.4929577309032564]","[0.6086956331524904, 0.5478260512769442, 0.3826086488479461, 0.191304324423973]"
"[0.7751576486883036, 0.5883023696995365, 0.0, 0.8343825078120226]","[0.4654619582688809, 0.4293481116379148, 0.6961763202475437, 0.0]","[0.687071625759571, 0.575374034174745, 0.8644403766520173, 0.6057201843595805]","[0.5479452166371244, 0.554794536283124, 0.4657534383185304, 0.3835616567366749]","[0.8309859281954025, 0.1549295550842908, 0.4929577309032564, 0.8309859281954025]","[0.5478260512769442, 0.3826086488479461, 0.191304324423973, 0.1217391107216718]"
"[0.5883023696995365, 0.0, 0.8343825078120226, 0.2817455384202612]","[0.4293481116379148, 0.6961763202475437, 0.0, 0.3778260845532135]","[0.575374034174745, 0.8644403766520173, 0.6057201843595805, 0.3228989830078217]","[0.554794536283124, 0.4657534383185304, 0.3835616567366749, 0.431506866194624]","[0.1549295550842908, 0.4929577309032564, 0.8309859281954025, 1.0]","[0.3826086488479461, 0.191304324423973, 0.1217391107216718, 0.1652173493995773]"
