accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,latitude,longitude
-0.10230279,0.076723099,-0.135655522,0.004276057,0.001832596,-0.007941248,39.45946884,-8.198904991
-0.051682591,0.428269386,-0.400397807,0.015882496,0.042760566,-0.017104227,39.45946884,-8.198904991
0.434049726,0.087778091,0.522344589,0.01038471,-0.00122173,0.009162978,39.45946884,-8.198904991
-0.003625631,-0.129934311,-0.065916754,-0.036041051,-0.08124508,0.014049901,39.45946884,-8.198904991
0.060986757,0.296775818,-0.037789434,-0.014049901,0.016493361,-0.015882496,39.45946884,-8.198904991
0.187719941,-0.083901405,0.333899528,0.01038471,0.001832596,0.005497787,39.45946884,-8.198904991
0.10795486,-0.028949738,0.120520733,-0.010995574,0.018325957,-0.017715093,39.45946884,-8.198904991
-0.126126945,0.384854317,-0.162611842,-0.004276057,-0.001832596,-0.001832596,39.45946884,-8.198904991
0.192914188,-0.30182457,0.84537065,0.029932396,-0.021991149,-0.020769419,39.45946884,-8.198904991
0.25647527,0.004714012,-0.163613543,-0.008552114,0.003054326,-0.009162978,39.45946884,-8.198904991
0.208894432,0.133975983,0.192572489,0.033597589,0.020769419,-0.015882496,39.45946884,-8.198904991
-0.090856254,-0.186994553,0.341725796,0.041538838,0.004276057,0.004276057,39.45946884,-8.198904991
-0.434501946,0.098012924,-0.230212718,-0.006108652,-0.023823744,0,39.45946884,-8.198904991
-0.312726736,-0.052612305,0.160468936,-0.01160644,0.008552114,0.021991149,39.45946884,-8.198904991
0.619516194,0.33794117,-0.131576926,-0.017715093,0.036041051,-0.033597589,39.45946884,-8.198904991
0.242518842,0.100265503,-0.636360765,0.004276057,0.033597589,-0.031154128,39.45946884,-8.198904991
-0.314962387,0.071873665,0.19452177,0.022602014,-0.067806043,0.013439035,39.45946884,-8.198904991
-0.318425179,0.220766068,-0.257459462,-0.037262779,0.055588737,0.025045475,39.45946884,-8.198904991
0.424961865,0.349420547,-0.301841587,-0.020158553,-0.037262779,-0.014049901,39.45946884,-8.198904991
